relation_type,token_length_bin,sentence_position_bin,frequency_bin,abs_head_dist_bin,n_before_raw,n_after_raw,n_pairs_kept
obl,5-6,6-10,"(4.22, 8.54]",5-6,5,38,5
obl,5-6,61-65,"(3.497, 4.22]",5-6,1,1,1
obl,7-8,1-5,"(0.692, 1.386]",3-4,4,6,4
obl,7-8,1-5,"(1.386, 2.197]",1-2,3,1,1
obl,7-8,1-5,"(1.386, 2.197]",3-4,9,6,6
obl,7-8,1-5,"(2.197, 2.833]",1-2,4,2,2
obl,7-8,1-5,"(2.197, 2.833]",3-4,6,6,6
obl,7-8,1-5,"(2.833, 3.497]",1-2,2,1,1
obl,7-8,1-5,"(2.833, 3.497]",3-4,12,6,6
obl,7-8,1-5,"(3.497, 4.22]",3-4,4,2,2
obl,7-8,11-15,"(0.692, 1.386]",5-6,1,32,1
obl,7-8,11-15,"(1.386, 2.197]",3-4,3,23,3
obl,7-8,11-15,"(1.386, 2.197]",5-6,1,25,1
obl,7-8,11-15,"(2.197, 2.833]",5-6,1,22,1
obl,7-8,11-15,"(2.833, 3.497]",3-4,3,17,3
obl,7-8,11-15,"(2.833, 3.497]",5-6,1,22,1
obl,7-8,11-15,"(3.497, 4.22]",3-4,2,20,2
obl,7-8,11-15,"(3.497, 4.22]",5-6,1,22,1
obl,7-8,16-20,"(0.692, 1.386]",5-6,1,21,1
obl,7-8,16-20,"(2.197, 2.833]",5-6,1,19,1
obl,7-8,16-20,"(2.833, 3.497]",5-6,1,13,1
obl,7-8,16-20,"(4.22, 8.54]",5-6,1,5,1
obl,7-8,21-25,"(0.692, 1.386]",3-4,1,13,1
obl,7-8,21-25,"(1.386, 2.197]",5-6,2,13,2
obl,7-8,21-25,"(2.833, 3.497]",3-4,1,9,1
obl,7-8,21-25,"(2.833, 3.497]",5-6,1,12,1
obl,7-8,6-10,"(0.692, 1.386]",5-6,1,26,1
obl,7-8,6-10,"(1.386, 2.197]",1-2,1,2,1
obl,7-8,6-10,"(1.386, 2.197]",3-4,3,35,3
obl,7-8,6-10,"(1.386, 2.197]",5-6,2,17,2
obl,7-8,6-10,"(2.197, 2.833]",1-2,1,7,1
obl,7-8,6-10,"(2.197, 2.833]",3-4,2,38,2
obl,7-8,6-10,"(2.197, 2.833]",5-6,3,19,3
obl,7-8,6-10,"(2.833, 3.497]",3-4,2,25,2
obl,7-8,6-10,"(2.833, 3.497]",5-6,1,15,1
obl,7-8,6-10,"(3.497, 4.22]",1-2,1,2,1
obl,7-8,6-10,"(3.497, 4.22]",3-4,2,37,2
obl,7-8,6-10,"(3.497, 4.22]",5-6,4,32,4
obl,9-10,1-5,"(0.692, 1.386]",3-4,3,4,3
obl,9-10,1-5,"(1.386, 2.197]",1-2,1,1,1
obl,9-10,1-5,"(1.386, 2.197]",3-4,4,3,3
obl,9-10,1-5,"(2.197, 2.833]",1-2,2,1,1
obl,9-10,1-5,"(2.197, 2.833]",3-4,2,5,2
obl,9-10,11-15,"(0.692, 1.386]",3-4,1,11,1
obl,9-10,11-15,"(0.692, 1.386]",5-6,1,24,1
obl,9-10,11-15,"(4.22, 8.54]",5-6,1,2,1
obl,9-10,16-20,"(1.386, 2.197]",5-6,1,5,1
obl,9-10,16-20,"(2.197, 2.833]",5-6,1,11,1
obl,9-10,6-10,"(0.692, 1.386]",3-4,1,21,1
obl,9-10,6-10,"(0.692, 1.386]",5-6,1,16,1
obl,9-10,6-10,"(1.386, 2.197]",5-6,2,8,2
obl,9-10,6-10,"(2.833, 3.497]",1-2,1,4,1
obl,9-10,6-10,"(2.833, 3.497]",3-4,1,12,1
obl,9-10,6-10,"(2.833, 3.497]",5-6,3,7,3
obl:unmarked,3-4,1-5,"(4.22, 8.54]",1-2,17,5,5
obl:unmarked,3-4,1-5,"(4.22, 8.54]",3-4,12,5,5
obl:unmarked,3-4,11-15,"(3.497, 4.22]",1-2,8,1,1
obl:unmarked,3-4,11-15,"(3.497, 4.22]",3-4,1,2,1
obl:unmarked,3-4,11-15,"(4.22, 8.54]",1-2,10,10,10
obl:unmarked,3-4,11-15,"(4.22, 8.54]",3-4,3,15,3
obl:unmarked,3-4,11-15,"(4.22, 8.54]",5-6,4,11,4
obl:unmarked,3-4,16-20,"(3.497, 4.22]",1-2,5,1,1
obl:unmarked,3-4,16-20,"(4.22, 8.54]",1-2,9,8,8
obl:unmarked,3-4,16-20,"(4.22, 8.54]",5-6,2,20,2
obl:unmarked,3-4,21-25,"(2.197, 2.833]",1-2,1,1,1
obl:unmarked,3-4,21-25,"(3.497, 4.22]",1-2,2,1,1
obl:unmarked,3-4,21-25,"(4.22, 8.54]",1-2,6,2,2
obl:unmarked,3-4,21-25,"(4.22, 8.54]",5-6,1,10,1
obl:unmarked,3-4,26-30,"(4.22, 8.54]",1-2,3,3,3
obl:unmarked,3-4,31-35,"(4.22, 8.54]",3-4,1,1,1
obl:unmarked,3-4,46-50,"(4.22, 8.54]",5-6,1,1,1
obl:unmarked,3-4,6-10,"(1.386, 2.197]",1-2,1,1,1
obl:unmarked,3-4,6-10,"(2.197, 2.833]",1-2,5,1,1
obl:unmarked,3-4,6-10,"(2.833, 3.497]",1-2,1,1,1
obl:unmarked,3-4,6-10,"(3.497, 4.22]",1-2,7,1,1
obl:unmarked,3-4,6-10,"(4.22, 8.54]",1-2,19,19,19
obl:unmarked,3-4,6-10,"(4.22, 8.54]",3-4,1,25,1
obl:unmarked,3-4,6-10,"(4.22, 8.54]",5-6,3,19,3
obl:unmarked,5-6,1-5,"(2.833, 3.497]",1-2,2,1,1
obl:unmarked,5-6,1-5,"(3.497, 4.22]",1-2,17,5,5
obl:unmarked,5-6,1-5,"(3.497, 4.22]",3-4,4,3,3
obl:unmarked,5-6,1-5,"(4.22, 8.54]",1-2,10,2,2
obl:unmarked,5-6,1-5,"(4.22, 8.54]",3-4,1,2,1
obl:unmarked,5-6,11-15,"(3.497, 4.22]",1-2,6,4,4
obl:unmarked,5-6,11-15,"(3.497, 4.22]",5-6,1,5,1
obl:unmarked,5-6,11-15,"(4.22, 8.54]",1-2,7,3,3
obl:unmarked,5-6,11-15,"(4.22, 8.54]",3-4,1,3,1
obl:unmarked,5-6,16-20,"(3.497, 4.22]",1-2,6,3,3
obl:unmarked,5-6,16-20,"(3.497, 4.22]",3-4,1,3,1
obl:unmarked,5-6,16-20,"(4.22, 8.54]",1-2,5,1,1
obl:unmarked,5-6,16-20,"(4.22, 8.54]",5-6,1,2,1
obl:unmarked,5-6,21-25,"(3.497, 4.22]",1-2,3,1,1
obl:unmarked,5-6,26-30,"(4.22, 8.54]",1-2,4,1,1
obl:unmarked,5-6,6-10,"(0.692, 1.386]",1-2,2,2,2
obl:unmarked,5-6,6-10,"(3.497, 4.22]",1-2,9,13,9
obl:unmarked,5-6,6-10,"(3.497, 4.22]",3-4,4,12,4
obl:unmarked,5-6,6-10,"(3.497, 4.22]",5-6,1,8,1
obl:unmarked,5-6,6-10,"(4.22, 8.54]",1-2,6,7,6
obl:unmarked,5-6,6-10,"(4.22, 8.54]",3-4,1,15,1
obl:unmarked,7-8,1-5,"(0.692, 1.386]",3-4,1,1,1
obl:unmarked,7-8,1-5,"(1.386, 2.197]",1-2,1,2,1
obl:unmarked,7-8,1-5,"(2.833, 3.497]",3-4,1,1,1
obl:unmarked,7-8,1-5,"(3.497, 4.22]",1-2,2,1,1
obl:unmarked,7-8,1-5,"(3.497, 4.22]",3-4,2,1,1
obl:unmarked,7-8,11-15,"(1.386, 2.197]",5-6,1,3,1
obl:unmarked,7-8,11-15,"(3.497, 4.22]",1-2,1,2,1
obl:unmarked,7-8,16-20,"(2.197, 2.833]",1-2,2,1,1
obl:unmarked,7-8,16-20,"(3.497, 4.22]",1-2,1,1,1
obl:unmarked,7-8,6-10,"(1.386, 2.197]",5-6,1,1,1
obl:unmarked,7-8,6-10,"(2.833, 3.497]",1-2,3,2,2
obl:unmarked,7-8,6-10,"(3.497, 4.22]",3-4,1,5,1
obl:unmarked,9-10,11-15,"(0.692, 1.386]",1-2,1,1,1
vocative,3-4,1-5,"(0.692, 1.386]",1-2,1,1,1
vocative,3-4,1-5,"(3.497, 4.22]",1-2,1,1,1
xcomp,5-6,16-20,"(2.833, 3.497]",5-6,1,2,1
